Anyo;Semana;Zona Hidrográfica;Embalse Hidroeléctrico;Embalses;Ríos;AguaEmbalsada (hm3) Capacidad;AguaEmbalsada (hm3) Actual;AguaEmbalsada (hm3) (+ / -)SemanaAnterior;EnergíaDisponible GWh Capacidad;EnergíaDisponible GWh Actual;
2018;7;Júcar;NO;El Naranjero;Júcar;29;23;4;0;0;
2018;7;Júcar;NO;Escalona;Escalona;99;5;0;0;0;
2018;7;Júcar;NO;Forata;Magro;37;14;0;0;0;
2018;7;Júcar;NO;Guadalest;Guadalest;13;8;0;0;0;
2018;7;Júcar;SI;La Muela;Júcar;20;13;0;0;0;
2018;7;Júcar;SI;La Toba;Júcar;10;3;0;17;5;
2018;7;Júcar;NO;Loriguilla;Turia;73;19;0;18;5;
2018;7;Júcar;NO;María Cristina;Rambla Viuda;18;2;0;0;0;
2018;7;Júcar;NO;Regajo;Palancia;6;5;1;0;0;
2018;7;Júcar;NO;Sichar;Mijares;49;14;-1;3;1;
2018;7;Júcar;NO;Tous - La Ribera;Júcar;379;103;5;0;0;
2018;7;Júcar;NO;Ulldecona;Cenia;11;1;0;0;0;
2018;7;Ebro;NO;Albiña;Albiña;5;4;0;3;2;
2018;7;Ebro;NO;Alcañiz (Estanca);Guadalope;7;4;0;3;2;
2018;7;Ebro;NO;Alloz;Salado;66;53;-3;40;32;
2018;7;Ebro;NO;Barasona;Ésera;85;48;-4;54;32;
2018;7;Ebro;SI;Baserca;Noguera-Ribagorzana;22;7;-1;98;33;
2018;7;Ebro;NO;Búbal;Gállego;63;22;-1;73;25;
2018;7;Ebro;NO;Calanda;Guadalope;54;15;0;16;4;
2018;7;Ebro;SI;Camarasa;Noguera-Pallaresa;163;142;4;63;51;
2018;7;Ebro;SI;Canelles;Noguera-Ribagorzana;679;325;-6;395;169;
2018;7;Ebro;NO;Caspe;Guadalope;82;25;1;17;5;
2018;7;Ebro;SI;Cavallers;Noguera de Tort;16;4;-1;54;14;
2018;7;Ebro;SI;Certescáns;Certescáns;16;8;0;97;48;
2018;7;Ebro;NO;Ciurana;Ciurana;12;2;0;0;0;
2018;7;Ebro;NO;Cueva Foradada;Martín;22;7;0;4;1;
2018;7;Ebro;NO;Ebro;Ebro;541;250;15;468;205;
2018;7;Ebro;SI;Escales;Noguera-Ribagorzana;152;57;-1;149;55;
2018;7;Ebro;NO;Eúgui;Arga;21;17;0;10;8;
2018;7;Ebro;NO;González Lacasa;Albercos;33;16;1;20;10;
2018;7;Ebro;NO;Grado, El;Cinca;400;352;17;112;97;
2018;7;Ebro;NO;Guiamets;Asmat;10;2;0;0;0;
2018;7;Ebro;SI;Ip;Barranco de Ip;5;1;0;14;2;
2018;7;Ebro;SI;Irabia;Irati;14;11;0;17;13;
2018;7;Ebro;NO;Itoiz;Irati;417;338;5;234;191;
2018;7;Ebro;NO;Lanuza;Gállego;17;12;1;34;25;
2018;7;Ebro;NO;Las Fitas;Barranco Carnerario;9;8;0;5;5;
2018;7;Ebro;NO;Laverné;Barranco Vitale;38;20;3;8;4;
2018;7;Ebro;SI;Llauset;Llauset;17;6;1;49;17;
2018;7;Ebro;NO;Loteta (La);Derivación Canal Imperial;104;6;0;30;0;
2018;7;Ebro;NO;Maidevera;Aranda;20;5;0;6;2;
2018;7;Ebro;NO;Mansilla;Najerilla;68;31;2;62;27;
2018;7;Ebro;NO;Mediano;Cinca;435;125;-10;267;81;
2018;7;Ebro;SI;Mequinenza;Ebro;1.534;1.282;-68;265;213;
2018;7;Ebro;NO;Moneva;Aguas Vivas;8;1;0;2;0;
2018;7;Ebro;NO;Monteagudo;Nájima;10;5;0;3;1;
